Info: Reading netlist file "/home/laudas/eagle/eagle-lbr2kicad/examples/PIXHAWK/kicad_files/PX4FMUv2.4.net".

Info: Using references to match components and footprints.

* Warning: component 'VP_38': board footprint 'VPAC2', netlist footprint 'VPAD_VPAC2'

* Warning: component 'VP_36': board footprint 'VPAC1', netlist footprint 'VPAD_VPAC1'

* Warning: component 'VP_47': board footprint 'VPAC1', netlist footprint 'VPAD_VPAC1'

* Warning: component 'VP_46': board footprint 'VPAC1', netlist footprint 'VPAD_VPAC1'

* Warning: component 'VP_45': board footprint 'VPAC1', netlist footprint 'VPAD_VPAC1'

* Warning: component 'VP_44': board footprint 'VPAC1', netlist footprint 'VPAD_VPAC1'

* Warning: component 'VP_20': board footprint 'VPAC1', netlist footprint 'VPAD_VPAC1'

* Warning: component 'VP_21': board footprint 'VPAC1', netlist footprint 'VPAD_VPAC1'

* Warning: component 'VP_22': board footprint 'VPAC1', netlist footprint 'VPAD_VPAC1'

* Warning: component 'VP_40': board footprint 'VPAC1', netlist footprint 'VPAD_VPAC1'

* Warning: component 'VP_39': board footprint 'VPAC1', netlist footprint 'VPAD_VPAC1'

* Warning: component 'VP_37': board footprint 'VPAC1', netlist footprint 'VPAD_VPAC1'

* Warning: component 'VP_48': board footprint 'VPAC1', netlist footprint 'VPAD_VPAC1'

* Warning: component 'VP_23': board footprint 'VPAC1', netlist footprint 'VPAD_VPAC1'

* Warning: component 'VP_24': board footprint 'VPAC1', netlist footprint 'VPAD_VPAC1'

* Warning: component 'VP_25': board footprint 'VPAC1', netlist footprint 'VPAD_VPAC1'

* Warning: component 'VP_26': board footprint 'VPAC1', netlist footprint 'VPAD_VPAC1'

* Warning: component 'VP_27': board footprint 'VPAC1', netlist footprint 'VPAD_VPAC1'

* Warning: component 'VP_28': board footprint 'VPAC1', netlist footprint 'VPAD_VPAC1'

* Warning: component 'VP_29': board footprint 'VPAC1', netlist footprint 'VPAD_VPAC1'

* Warning: component 'VP_32': board footprint 'VPAC1', netlist footprint 'VPAD_VPAC1'

